Mois;Gare;Prévues;Assurées;Pourcentage de correspondances assurées
2016-09;ZOTTEGEM;6119;5664;92.56414446805033
2016-10;BRUGGE;17712;16480;93.04426377597109
2016-10;LIEGE-GUILLEMINS;33011;28327;85.81079034261306
2016-11;BRUGGE;16112;14492;89.94538232373385
2016-11;GENT-SINT-PIETERS;48924;42369;86.60166789305862
2016-11;LIEGE-GUILLEMINS;30546;25013;81.88633536305899
2016-11;ZOTTEGEM;5538;4909;88.64210906464429
2016-12;ANTWERPEN-CENTRAAL;35796;32577;91.00737512571237
2016-12;LEUVEN;41036;37184;90.61312018715275
2016-12;LIEGE-GUILLEMINS;33628;29408;87.45093374568812
2016-12;MECHELEN;41596;38345;92.1843446485239
2017-01;ANTWERPEN-CENTRAAL;35319;32616;92.3468954387157
2017-01;LIEGE-GUILLEMINS;33651;29875;88.77893673293514
2017-01;MECHELEN;41151;38523;93.61376394255304
2017-01;MONS;8850;8347;94.31638418079096
2017-02;LEUVEN;36758;33104;90.05930681756352
2017-02;LIEGE-GUILLEMINS;30306;26652;87.9429815878044
2017-02;MECHELEN;36602;33887;92.5823725479482
2017-03;ANTWERPEN-CENTRAAL;36749;33891;92.22291763041171
2017-03;BRUGGE;19159;18094;94.44125476277468
2017-03;LEUVEN;44158;40320;91.3084831740568
2017-03;MECHELEN;42611;39711;93.19424561732886
2017-03;MONS;9239;8555;92.59660136378396
2017-03;NAMUR;20176;17743;87.94111816019033
2017-04;LIEGE-GUILLEMINS;28469;25503;89.58165021602444
2017-05;ANTWERPEN-CENTRAAL;34913;31662;90.68828230172143
2017-05;CHARLEROI-SUD;17311;15457;89.2900467910577
2017-05;LEUVEN;41278;36377;88.1268472309705
2017-05;ZOTTEGEM;5808;5358;92.25206611570248
2017-06;BRUGGE;16782;15711;93.61816231676796
2017-06;GENT-SINT-PIETERS;46783;41494;88.69461129042601
2017-06;LEUVEN;38648;33644;87.05237010970814
2017-06;LIEGE-GUILLEMINS;28324;23874;84.28894223979664
2017-07;MONS;7450;6842;91.83892617449665
2017-07;NAMUR;18322;16488;89.99017574500601
2017-07;ZOTTEGEM;4971;4682;94.18628042647354
2017-08;ANTWERPEN-CENTRAAL;33979;32073;94.39065305041349
2017-08;BRUGGE;24023;22953;95.54593514548557
2017-08;CHARLEROI-SUD;15954;15108;94.6972546069951
2017-09;GENT-SINT-PIETERS;50200;45056;89.75298804780877
2017-09;NAMUR;17608;14296;81.19036801453885
2017-10;LEUVEN;41864;36277;86.65440473915535
2017-10;NAMUR;16433;13237;80.55132964157488
2017-11;CHARLEROI-SUD;15769;13502;85.62369205403006
2017-11;GENT-SINT-PIETERS;49305;42713;86.63015921306155
2017-11;LEUVEN;41273;35495;86.00053303612532
2017-11;LIEGE-GUILLEMINS;32567;26432;81.16191236527773
2017-11;MONS;8480;6976;82.26415094339623
2017-12;ZOTTEGEM;6195;5715;92.25181598062953
2018-01;CHARLEROI-SUD;17971;16204;90.16749207055813
2018-01;GENT-SINT-PIETERS;57153;52394;91.67322800202965
2018-01;MONS;11693;10514;89.9170443855298
2018-01;ZOTTEGEM;6869;6469;94.17673606056195
2018-02;ANTWERPEN-CENTRAAL;52411;46323;88.38411783785847
2018-02;BRUGGE;15454;14299;92.52620680729908
2018-02;GENT-SINT-PIETERS;51072;45904;89.88095238095238
2018-02;LEUVEN;38251;33828;88.43690361036313
2018-02;LIEGE-GUILLEMINS;28746;23665;82.32449732136645
2018-02;NAMUR;21604;19275;89.21958896500648
2018-03;ANTWERPEN-CENTRAAL;59940;54346;90.66733400066734
2018-03;BRUGGE;16296;15048;92.34167893961708
2018-03;GENT-SINT-PIETERS;57536;52187;90.70321190211345
2018-04;ANTWERPEN-CENTRAAL;50588;45407;89.75844073693366
2018-04;GENT-SINT-PIETERS;49958;45435;90.94639497177629
2018-04;LIEGE-GUILLEMINS;30349;26381;86.92543411644536
2018-05;LEUVEN;42094;37446;88.9580462773792
2018-05;LIEGE-GUILLEMINS;31849;27366;85.92420484159629
2018-05;MONS;11052;9975;90.25515743756786
2018-05;ZOTTEGEM;6291;5799;92.1793037672866
2018-06;ANTWERPEN-CENTRAAL;51100;45009;88.08023483365949
2018-06;BRUGGE;15675;14657;93.50558213716108
2018-06;CHARLEROI-SUD;16614;14605;87.90778861201396
2018-06;GENT-SINT-PIETERS;53275;47258;88.70577193805725
2018-06;MONS;9351;7971;85.24222008341353
2018-07;ANTWERPEN-CENTRAAL;48332;42863;88.68451543490855
2018-07;MONS;9776;8852;90.54828150572831
2018-09;BRUGGE;15300;14079;92.01960784313725
2018-09;CHARLEROI-SUD;16793;14944;88.98945989400346
2018-09;GENT-SINT-PIETERS;55975;49832;89.02545779365788
2018-09;LEUVEN;40611;35206;86.69079805963902
2018-09;MECHELEN;38595;35335;91.55331001425056
2018-09;MONS;10231;9028;88.24161861010654
2018-09;ZOTTEGEM;6393;5973;93.43031440638198
2018-10;ANTWERPEN-CENTRAAL;56342;51045;90.59848780660963
2018-10;LEUVEN;44818;39462;88.04944441965283
2018-10;MECHELEN;43546;39534;90.78675423689891
2018-11;LIEGE-GUILLEMINS;34821;29174;83.78277476235606
2018-11;MONS;10453;9069;86.75978188079976
2018-11;NAMUR;23692;20735;87.51899375316563
2018-11;ZOTTEGEM;6202;5782;93.22799097065463
2018-12;CHARLEROI-SUD;17072;15596;91.35426429240863
2018-12;MONS;10180;9358;91.92534381139488
2018-12;ZOTTEGEM;6254;6003;95.9865685960985
2019-01;LIEGE-GUILLEMINS;33516;30120;89.86752595775152
2019-01;NAMUR;24822;22952;92.46636048666505
2019-02;ANTWERPEN-CENTRAAL;45276;40702;89.89751744853785
2019-02;CHARLEROI-SUD;16106;14646;90.93505525890973
2019-02;ZOTTEGEM;6285;6045;96.18138424821002
2019-03;BRUGGE;15998;15412;96.33704213026628
2019-03;CHARLEROI-SUD;18475;17215;93.17997293640055
2019-03;GENT-SINT-PIETERS;54270;50866;93.72765800626497
2019-03;LEUVEN;42873;40018;93.34079723835515
2019-03;NAMUR;24078;22181;92.12143865769582
2019-03;ZOTTEGEM;6753;6537;96.80142159040427
2019-04;CHARLEROI-SUD;17351;16034;92.40965938562618
2019-04;GENT-SINT-PIETERS;51799;48121;92.89947682387691
2019-04;LEUVEN;40546;37590;92.70951511863069
2019-04;LIEGE-GUILLEMINS;22112;19429;87.86631693198264
2019-04;MECHELEN;38784;35488;91.5016501650165
2019-06;LEUVEN;39084;35776;91.53617848736056
2019-06;NAMUR;16244;14739;90.7350406303866
2019-06;ZOTTEGEM;5874;5510;93.80320054477357
2019-07;CHARLEROI-SUD;17274;16111;93.26733819613293
2019-07;MONS;10507;9831;93.56619396592748
2019-07;ZOTTEGEM;5981;5711;95.48570473165022
2019-08;GENT-SINT-PIETERS;53583;50851;94.9013679711849
2019-08;LIEGE-GUILLEMINS;13248;12161;91.79498792270532
2019-08;ZOTTEGEM;5650;5469;96.79646017699115
2019-09;MECHELEN;39379;36439;92.53409177480383
2019-09;ZOTTEGEM;6581;6282;95.45661753532897
2019-10;CHARLEROI-SUD;18373;16907;92.02090023403909
2019-10;GENT-SINT-PIETERS;56502;51622;91.36313758804998
2019-10;LEUVEN;44518;40744;91.52253021249831
2019-10;MECHELEN;42370;38541;90.96294548029266
2019-12;LEUVEN;40258;37238;92.49838541407918
2019-12;MECHELEN;37145;33803;91.00282675999462
2020-01;ANTWERPEN-CENTRAAL;52611;48779;92.71635209366862
2020-01;BRUGGE;15470;14841;95.93406593406594
2020-01;CHARLEROI-SUD;18265;17030;93.23843416370107
2020-01;MECHELEN;40928;37676;92.05433932759969
