Mois;Instant;Instant;Instant;Ponctualité;Nombre de trains comptabilisés;Nombre de trains arrivant avec moins de 6 min. de retard à Bruxelles;Minutes de retard
2023-10;Ochtendspits;Pointe du matin;Morning peak hour;81.86132349064066;3793;3105;12239
2023-11;Ochtendspits;Pointe du matin;Morning peak hour;74.76028456541911;3233;2417;13166
2023-11;Avondspits;Pointe du soir;Evening peak hour;75.56363636363636;2750;2078;11709
2023-11;Weekends;Weekends;Weekends;92.06056885614898;4887;4499;8286
2023-12;Ochtendspits;Pointe du matin;Morning peak hour;83.07448494453249;3155;2621;10037
2023-12;Avondspits;Pointe du soir;Evening peak hour;83.9246922519913;2762;2318;9004
2023-12;Weekends;Weekends;Weekends;95.51451187335093;6064;5792;6972
2024-01;Ochtendspits;Pointe du matin;Morning peak hour;80.90858416945373;3588;2903;12782
2024-01;Avondspits;Pointe du soir;Evening peak hour;82.62971318079279;3103;2564;11079
2024-02;Ochtendspits;Pointe du matin;Morning peak hour;84.34371523915462;3596;3033;10189
2024-03;Ochtendspits;Pointe du matin;Morning peak hour;88.84286108809721;3621;3217;7933
2024-03;Daluren;Heures creuses;Off-peak hours;91.26238039281517;11914;10873;22952
2024-05;Avondspits;Pointe du soir;Evening peak hour;86.44556596971881;2774;2398;7489
2024-05;Daluren;Heures creuses;Off-peak hours;89.23754215061821;10676;9527;23927
