Mois;Type de train;Instant;Instant;Instant;Ponctualité;Nombre de trains;Nombre de train avec moins de 6 min. de retard;Minutes de retard
2016-08;S;Daluren;Heures creuses;Off-peak hours;92.75464834276475;9896;9179;15742.0
2016-09;IC;Ochtendspits;Pointe du matin;Morning peak hour;86.95007414730598;6069;5277;15529.0
2016-09;L;Ochtendspits;Pointe du matin;Morning peak hour;89.43208430913349;3416;3055;7328.0
2016-09;L;Avondspits;Pointe du soir;Evening peak hour;89.09899888765295;3596;3204;7895.0
2016-09;P;Avondspits;Pointe du soir;Evening peak hour;87.86851030524393;3833;3368;8511.0
2016-09;P;Daluren;Heures creuses;Off-peak hours;89.20664206642066;1084;967;2100.0
2016-09;S;Ochtendspits;Pointe du matin;Morning peak hour;90.33505154639175;3104;2804;6913.0
2016-10;IC;Daluren;Heures creuses;Off-peak hours;85.20543783701679;26334;22438;80153.0
2016-10;L;Avondspits;Pointe du soir;Evening peak hour;86.52583499857265;3503;3031;8533.0
2016-10;L;Weekends;Weekends;Weekends;92.88101604278076;5984;5558;9578.0
2016-10;P;Ochtendspits;Pointe du matin;Morning peak hour;82.32651023464803;4006;3298;12277.0
2016-10;P;Avondspits;Pointe du soir;Evening peak hour;81.83850237496507;3579;2929;12562.0
2016-10;S;Ochtendspits;Pointe du matin;Morning peak hour;84.02447314751869;2942;2472;8699.0
2016-10;S;Daluren;Heures creuses;Off-peak hours;90.54012503843396;9757;8834;21094.0
2016-11;IC;Avondspits;Pointe du soir;Evening peak hour;74.55939947780679;6128;4569;28854.0
2016-11;IC;Weekends;Weekends;Weekends;86.26267705976028;11931;10292;32404.0
2016-12;IC;Ochtendspits;Pointe du matin;Morning peak hour;82.62791092979772;5883;4861;18414.0
2016-12;IC;Weekends;Weekends;Weekends;91.36509589516619;11523;10528;20494.0
2016-12;IC;Daluren;Heures creuses;Off-peak hours;88.3751127141569;27725;24502;66374.0
2016-12;S;Avondspits;Pointe du soir;Evening peak hour;84.13228155339806;3296;2773;9325.0
2016-12;S;Weekends;Weekends;Weekends;95.5083459787557;3295;3147;3716.0
2016-12;S;Daluren;Heures creuses;Off-peak hours;92.13428320484044;10247;9441;17840.0
2017-01;IC;Weekends;Weekends;Weekends;91.35205183585313;11575;10574;21096.0
2017-01;L;Weekends;Weekends;Weekends;95.42210617928633;5745;5482;6032.0
2017-01;P;Avondspits;Pointe du soir;Evening peak hour;87.0313801721744;3601;3134;9409.0
2017-01;S;Daluren;Heures creuses;Off-peak hours;93.1715737987916;10427;9715;15378.0
2017-02;IC;Ochtendspits;Pointe du matin;Morning peak hour;87.09677419354838;5456;4752;12902.0
2017-02;L;Ochtendspits;Pointe du matin;Morning peak hour;90.62980030721967;3255;2950;5599.0
2017-02;P;Ochtendspits;Pointe du matin;Morning peak hour;88.85424785658613;3849;3420;8145.0
2017-02;P;Weekends;Weekends;Weekends;75.0;12;9;70.0
2017-02;S;Weekends;Weekends;Weekends;91.47914791479148;3333;3049;6653.0
2017-03;IC;Ochtendspits;Pointe du matin;Morning peak hour;86.78634966844574;6183;5366;15670.0
2017-03;IC;Daluren;Heures creuses;Off-peak hours;88.41895330444949;29082;25714;69700.0
2017-03;P;Ochtendspits;Pointe du matin;Morning peak hour;89.43820224719101;4450;3980;9507.0
2017-04;IC;Avondspits;Pointe du soir;Evening peak hour;87.67676767676768;5940;5208;14309.0
2017-04;L;Weekends;Weekends;Weekends;95.68977739968808;7053;6749;7013.0
2017-04;P;Ochtendspits;Pointe du matin;Morning peak hour;90.96450340623879;2789;2537;5146.0
2017-04;P;Weekends;Weekends;Weekends;80.0;10;8;29.0
2017-04;P;Daluren;Heures creuses;Off-peak hours;91.63679808841098;837;767;1396.0
2017-05;IC;Avondspits;Pointe du soir;Evening peak hour;76.51503469545105;6485;4962;27619.0
2017-05;IC;Weekends;Weekends;Weekends;88.48860118209963;14212;12576;30364.0
2017-05;IC;Daluren;Heures creuses;Off-peak hours;84.56818010691966;26562;22463;82505.0
2017-05;L;Avondspits;Pointe du soir;Evening peak hour;83.0957810718358;3508;2915;10405.0
2017-06;IC;Ochtendspits;Pointe du matin;Morning peak hour;88.37654428397424;5747;5079;13348.0
2017-06;L;Avondspits;Pointe du soir;Evening peak hour;83.85146804835925;3474;2913;9666.0
2017-06;P;Avondspits;Pointe du soir;Evening peak hour;79.95642701525054;3672;2936;13444.0
2017-07;IC;Avondspits;Pointe du soir;Evening peak hour;85.99649514099092;6277;5398;17586.0
2017-07;IC;Daluren;Heures creuses;Off-peak hours;89.67867963642162;25084;22495;55330.0
2017-07;L;Avondspits;Pointe du soir;Evening peak hour;91.69157202630007;3346;3068;5231.0
2017-07;L;Daluren;Heures creuses;Off-peak hours;93.44156887960136;12442;11626;17329.0
2017-08;IC;Avondspits;Pointe du soir;Evening peak hour;88.06793438815504;6889;6067;16305.0
2017-08;L;Avondspits;Pointe du soir;Evening peak hour;93.452866069003;3681;3440;5061.0
2017-08;L;Weekends;Weekends;Weekends;97.4707501720578;5812;5665;4134.0
2017-09;IC;Ochtendspits;Pointe du matin;Morning peak hour;82.8353022932592;5756;4768;19110.0
2017-09;IC;Daluren;Heures creuses;Off-peak hours;86.25824693685202;26525;22880;73887.0
2017-09;L;Ochtendspits;Pointe du matin;Morning peak hour;91.19293078055965;3395;3096;6756.0
2017-09;P;Daluren;Heures creuses;Off-peak hours;88.2032667876588;1102;972;2528.0
2017-09;S;Weekends;Weekends;Weekends;90.93723613847453;3553;3231;6615.0
2017-09;S;Daluren;Heures creuses;Off-peak hours;90.24902490249025;9999;9024;20519.0
