Mois;Ligne;Instant;Instant;Instant;Ponctualité;Nombre de trains comptabilisés;Nombre de trains arrivés à Bruxelles avec moins de 6 min. de retard;Minutes de retard
2018-02;94;Ochtendspits;Pointe du matin;Morning peak hour;70.31802120141343;283;199;1375
2018-02;96;Daluren;Heures creuses;Off-peak hours;94.08960915157293;1049;987;1820
2018-02;124;Ochtendspits;Pointe du matin;Morning peak hour;75.25773195876289;291;219;1208
2018-02;124;Avondspits;Pointe du soir;Evening peak hour;86.14718614718615;231;199;658
2018-02;124;Daluren;Heures creuses;Off-peak hours;90.89834515366431;846;769;1628
2018-02;161;Weekends;Weekends;Weekends;95.71428571428572;280;268;376
2018-02;161;Daluren;Heures creuses;Off-peak hours;91.41104294478528;652;596;1196
2018-02;162;Weekends;Weekends;Weekends;93.26923076923077;104;97;234
2018-03;25-27;Ochtendspits;Pointe du matin;Morning peak hour;84.78701825557809;493;418;1434
2018-03;25-27;Daluren;Heures creuses;Off-peak hours;88.22157434402332;1715;1513;3971
2018-03;36-36C;Avondspits;Pointe du soir;Evening peak hour;84.81613285883749;843;715;2555
2018-03;36-36C;Weekends;Weekends;Weekends;80.1610541727672;1366;1095;5080
2018-03;36-36C;Daluren;Heures creuses;Off-peak hours;88.272157564906;3351;2958;8219
2018-03;50A;Avondspits;Pointe du soir;Evening peak hour;90.76923076923077;390;354;1001
2018-03;50A;Daluren;Heures creuses;Off-peak hours;91.68253968253968;1575;1444;2862
2018-03;50;Ochtendspits;Pointe du matin;Morning peak hour;83.63636363636363;110;92;316
2018-03;50;Weekends;Weekends;Weekends;100.0;110;110;130
2018-03;94;Ochtendspits;Pointe du matin;Morning peak hour;76.16099071207431;323;246;1495
2018-03;94;Avondspits;Pointe du soir;Evening peak hour;85.27918781725889;197;168;504
2018-03;94;Weekends;Weekends;Weekends;92.75862068965517;290;269;363
2018-03;96;Ochtendspits;Pointe du matin;Morning peak hour;78.85057471264368;435;343;1526
2018-03;124;Avondspits;Pointe du soir;Evening peak hour;89.61538461538461;260;233;631
2018-03;124;Daluren;Heures creuses;Off-peak hours;91.6926272066459;963;883;1957
2018-03;161;Avondspits;Pointe du soir;Evening peak hour;88.3248730964467;197;174;548
2018-03;162;Ochtendspits;Pointe du matin;Morning peak hour;84.0909090909091;88;74;225
2018-03;162;Weekends;Weekends;Weekends;91.83673469387756;147;135;222
2018-03;162;Daluren;Heures creuses;Off-peak hours;92.43421052631578;304;281;495
2018-04;25-27;Ochtendspits;Pointe du matin;Morning peak hour;86.78414096916299;454;394;1152
2018-04;25-27;Avondspits;Pointe du soir;Evening peak hour;86.94581280788178;406;353;1086
