Mois;Ligne;Instant;Instant;Instant;Ponctualité;Nombre de trains comptabilisés;Nombre de trains arrivés à Bruxelles avec moins de 6 min. de retard;Minutes de retard
2016-09;96;Avondspits;Pointe du soir;Evening peak hour;91.13149847094802;327;298;669
2016-09;96;Weekends;Weekends;Weekends;91.25295508274232;423;386;702
2016-09;124;Ochtendspits;Pointe du matin;Morning peak hour;88.78504672897196;321;285;915
2016-09;124;Avondspits;Pointe du soir;Evening peak hour;91.63498098859316;263;241;580
2016-09;124;Daluren;Heures creuses;Off-peak hours;96.0;875;840;1264
2016-09;161;Ochtendspits;Pointe du matin;Morning peak hour;91.29032258064517;310;283;723
2016-10;25-27;Weekends;Weekends;Weekends;95.84837545126354;554;531;618
2016-10;25-27;Daluren;Heures creuses;Off-peak hours;90.50826699326393;1633;1478;3923
2016-10;36-36C;Weekends;Weekends;Weekends;91.14649681528662;1570;1431;3152
2016-10;50;Ochtendspits;Pointe du matin;Morning peak hour;83.65384615384616;104;87;397
2016-10;50;Weekends;Weekends;Weekends;88.4393063583815;173;153;510
2016-10;60;Ochtendspits;Pointe du matin;Morning peak hour;77.39130434782608;230;178;916
2016-10;60;Daluren;Heures creuses;Off-peak hours;92.27202472952087;647;597;1276
2016-10;89;Avondspits;Pointe du soir;Evening peak hour;84.8;125;106;411
2016-10;89;Weekends;Weekends;Weekends;75.75757575757575;165;125;617
2016-10;89;Daluren;Heures creuses;Off-peak hours;91.29554655870446;494;451;958
2016-10;94;Weekends;Weekends;Weekends;95.28301886792453;318;303;278
2016-10;96;Avondspits;Pointe du soir;Evening peak hour;77.70491803278688;305;237;1588
2016-10;96;Daluren;Heures creuses;Off-peak hours;88.42676311030742;1106;978;2755
2016-10;124;Weekends;Weekends;Weekends;84.40677966101696;295;249;795
2016-10;124;Daluren;Heures creuses;Off-peak hours;92.34507897934387;823;760;1920
2016-10;162;Daluren;Heures creuses;Off-peak hours;75.74257425742574;202;153;1230
2016-11;25-27;Weekends;Weekends;Weekends;93.44262295081968;549;513;825
2016-11;36-36C;Ochtendspits;Pointe du matin;Morning peak hour;67.74628879892038;741;502;4111
2016-11;36-36C;Avondspits;Pointe du soir;Evening peak hour;79.88252569750367;681;544;2588
2016-11;36-36C;Weekends;Weekends;Weekends;87.65522279035793;1369;1200;3630
2016-11;36-36C;Daluren;Heures creuses;Off-peak hours;83.5820895522388;2747;2296;8681
2016-11;50A;Daluren;Heures creuses;Off-peak hours;87.19285182427402;1343;1171;4181
2016-11;60;Avondspits;Pointe du soir;Evening peak hour;85.39325842696628;178;152;514
2016-11;89;Ochtendspits;Pointe du matin;Morning peak hour;55.26315789473685;190;105;1117
2016-11;94;Avondspits;Pointe du soir;Evening peak hour;76.97368421052632;152;117;549
2016-11;94;Weekends;Weekends;Weekends;92.46031746031747;252;233;431
2016-11;124;Weekends;Weekends;Weekends;94.44444444444444;342;323;511
2016-11;161;Avondspits;Pointe du soir;Evening peak hour;68.02325581395348;172;117;1052
2016-11;161;Daluren;Heures creuses;Off-peak hours;77.15877437325905;718;554;3184
2016-11;162;Ochtendspits;Pointe du matin;Morning peak hour;75.0;60;45;318
2016-12;25-27;Daluren;Heures creuses;Off-peak hours;91.0151691948658;1714;1560;3388
2016-12;36-36C;Ochtendspits;Pointe du matin;Morning peak hour;79.92565055762083;807;645;2899
2016-12;36-36C;Weekends;Weekends;Weekends;90.97621000820345;1219;1109;2320
2016-12;36-36C;Daluren;Heures creuses;Off-peak hours;90.4639175257732;3104;2808;6980
2016-12;60;Ochtendspits;Pointe du matin;Morning peak hour;87.09677419354838;217;189;678
2016-12;60;Avondspits;Pointe du soir;Evening peak hour;91.37055837563452;197;180;354
2016-12;94;Avondspits;Pointe du soir;Evening peak hour;92.3529411764706;170;157;301
2016-12;124;Avondspits;Pointe du soir;Evening peak hour;94.96124031007753;258;245;464
2016-12;124;Weekends;Weekends;Weekends;97.77777777777777;315;308;259
2016-12;161;Avondspits;Pointe du soir;Evening peak hour;81.76795580110497;181;148;774
2016-12;161;Weekends;Weekends;Weekends;96.22641509433963;265;255;180
2016-12;162;Daluren;Heures creuses;Off-peak hours;74.75728155339806;206;154;1134
2017-01;36-36C;Ochtendspits;Pointe du matin;Morning peak hour;82.84671532846716;822;681;2611
2017-01;36-36C;Weekends;Weekends;Weekends;89.81623277182236;1306;1173;3141
2017-01;36-36C;Daluren;Heures creuses;Off-peak hours;91.66666666666666;3096;2838;5928
2020-10;96;Ochtendspits;Pointe du matin;Morning peak hour;80.51643192488262;426;343;1481
2020-10;124;Ochtendspits;Pointe du matin;Morning peak hour;91.94139194139194;273;251;504
2020-10;124;Weekends;Weekends;Weekends;95.98930481283422;374;359;493
2020-10;124;Daluren;Heures creuses;Off-peak hours;96.13778705636743;958;921;862
2020-10;161;Weekends;Weekends;Weekends;93.10344827586206;261;243;297
2020-10;161;Daluren;Heures creuses;Off-peak hours;86.87415426251691;739;642;2119
2020-10;162;Ochtendspits;Pointe du matin;Morning peak hour;77.90697674418605;86;67;498
2020-10;162;Weekends;Weekends;Weekends;90.14084507042254;142;128;443
2020-11;25-27;Ochtendspits;Pointe du matin;Morning peak hour;87.08791208791209;364;317;1083
2020-11;36-36C;Ochtendspits;Pointe du matin;Morning peak hour;91.74690508940853;727;667;1278
2020-11;50A;Ochtendspits;Pointe du matin;Morning peak hour;89.64059196617336;473;424;1083
2020-11;50;Ochtendspits;Pointe du matin;Morning peak hour;90.9090909090909;99;90;198
2020-11;60;Weekends;Weekends;Weekends;97.55351681957187;327;319;304
2020-11;89;Avondspits;Pointe du soir;Evening peak hour;98.30508474576271;118;116;82
2020-11;89;Weekends;Weekends;Weekends;88.62275449101796;167;148;360
2020-11;94;Ochtendspits;Pointe du matin;Morning peak hour;77.6824034334764;233;181;1043
2020-11;94;Weekends;Weekends;Weekends;97.0873786407767;309;300;213
2020-11;96;Avondspits;Pointe du soir;Evening peak hour;95.39748953974896;239;228;322
2020-11;124;Daluren;Heures creuses;Off-peak hours;96.67128987517337;721;697;832
2020-11;161;Ochtendspits;Pointe du matin;Morning peak hour;83.78378378378379;148;124;590
2020-11;161;Daluren;Heures creuses;Off-peak hours;89.82725527831093;521;468;1228
2020-12;25-27;Ochtendspits;Pointe du matin;Morning peak hour;89.02439024390245;410;365;1107
2020-12;36-36C;Avondspits;Pointe du soir;Evening peak hour;96.1104140526976;797;766;720
2020-12;50A;Daluren;Heures creuses;Off-peak hours;95.15915119363395;1508;1435;1568
2020-12;50;Avondspits;Pointe du soir;Evening peak hour;98.4126984126984;63;62;76
2020-12;50;Weekends;Weekends;Weekends;98.88888888888889;180;178;168
2020-12;60;Ochtendspits;Pointe du matin;Morning peak hour;94.14893617021278;188;177;199
2020-12;60;Avondspits;Pointe du soir;Evening peak hour;98.40425531914893;188;185;185
2020-12;89;Daluren;Heures creuses;Off-peak hours;96.86274509803921;510;494;408
2020-12;94;Avondspits;Pointe du soir;Evening peak hour;94.5945945945946;185;175;287
2020-12;94;Weekends;Weekends;Weekends;98.42767295597484;318;313;120
2020-12;96;Ochtendspits;Pointe du matin;Morning peak hour;92.16710182767625;383;353;772
2020-12;124;Weekends;Weekends;Weekends;97.31051344743277;409;398;456
2020-12;161;Ochtendspits;Pointe du matin;Morning peak hour;91.57894736842105;190;174;306
2020-12;161;Daluren;Heures creuses;Off-peak hours;94.50381679389312;655;619;1019
2021-01;25-27;Avondspits;Pointe du soir;Evening peak hour;78.0;400;312;1705
2021-01;25-27;Weekends;Weekends;Weekends;91.3312693498452;646;590;1397
2021-01;36-36C;Avondspits;Pointe du soir;Evening peak hour;95.16971279373368;766;729;856
2021-01;36-36C;Weekends;Weekends;Weekends;96.14730878186968;1765;1697;1643
2021-01;36-36C;Daluren;Heures creuses;Off-peak hours;96.30106143454486;3109;2994;2573
2021-01;50A;Ochtendspits;Pointe du matin;Morning peak hour;92.06049149338375;529;487;818
2021-01;50;Avondspits;Pointe du soir;Evening peak hour;98.24561403508771;57;56;71
2021-01;50;Weekends;Weekends;Weekends;98.4126984126984;189;186;202
2021-01;50;Daluren;Heures creuses;Off-peak hours;96.9298245614035;228;221;250
2021-01;60;Avondspits;Pointe du soir;Evening peak hour;92.44186046511628;172;159;335
2021-01;60;Weekends;Weekends;Weekends;98.84393063583815;346;342;125
2021-01;89;Ochtendspits;Pointe du matin;Morning peak hour;92.3076923076923;234;216;414
2021-01;94;Daluren;Heures creuses;Off-peak hours;92.77456647398844;692;642;1229
2021-01;96;Avondspits;Pointe du soir;Evening peak hour;91.63879598662207;299;274;589
2021-01;96;Daluren;Heures creuses;Off-peak hours;96.26253418413856;1097;1056;1211
2021-01;124;Daluren;Heures creuses;Off-peak hours;90.74074074074075;864;784;1881
2021-01;161;Weekends;Weekends;Weekends;96.11398963730569;386;371;370
2021-01;162;Avondspits;Pointe du soir;Evening peak hour;100.0;59;59;17
2021-01;162;Daluren;Heures creuses;Off-peak hours;92.10526315789474;266;245;334
2021-02;36-36C;Ochtendspits;Pointe du matin;Morning peak hour;84.0;850;714;2676
2021-02;50;Ochtendspits;Pointe du matin;Morning peak hour;88.65979381443299;97;86;296
2021-02;60;Weekends;Weekends;Weekends;96.1977186311787;263;253;223
2021-02;89;Daluren;Heures creuses;Off-peak hours;96.47779479326188;653;630;525
2021-02;94;Avondspits;Pointe du soir;Evening peak hour;86.28571428571429;175;151;475
2021-02;94;Weekends;Weekends;Weekends;96.81818181818181;220;213;126
2021-02;94;Daluren;Heures creuses;Off-peak hours;89.51965065502183;687;615;1664
2021-02;96;Avondspits;Pointe du soir;Evening peak hour;87.83783783783784;296;260;817
2021-02;124;Avondspits;Pointe du soir;Evening peak hour;90.74074074074075;216;196;436
2021-02;124;Daluren;Heures creuses;Off-peak hours;90.5683192261185;827;749;1871
2021-02;161;Ochtendspits;Pointe du matin;Morning peak hour;85.47486033519553;179;153;511
2021-02;162;Weekends;Weekends;Weekends;79.84496124031007;129;103;391
2021-03;25-27;Avondspits;Pointe du soir;Evening peak hour;83.26086956521739;460;383;1338
2021-03;25-27;Weekends;Weekends;Weekends;88.84381338742394;493;438;1041
2021-03;36-36C;Ochtendspits;Pointe du matin;Morning peak hour;89.56611570247934;968;867;2388
2021-03;36-36C;Weekends;Weekends;Weekends;93.04761904761905;1050;977;2066
2021-03;50A;Daluren;Heures creuses;Off-peak hours;93.1523750771129;1621;1510;2341
2021-03;60;Weekends;Weekends;Weekends;95.23809523809523;231;220;282
2021-03;89;Ochtendspits;Pointe du matin;Morning peak hour;95.78544061302682;261;250;342
2021-03;89;Weekends;Weekends;Weekends;97.11191335740072;277;269;224
2021-03;89;Daluren;Heures creuses;Off-peak hours;95.89603283173734;731;701;855
2021-03;124;Ochtendspits;Pointe du matin;Morning peak hour;90.55944055944056;286;259;500
2021-03;161;Weekends;Weekends;Weekends;93.1899641577061;279;260;457
2021-03;161;Daluren;Heures creuses;Off-peak hours;91.3157894736842;760;694;1498
2021-03;162;Ochtendspits;Pointe du matin;Morning peak hour;87.5;88;77;198
2021-04;36-36C;Weekends;Weekends;Weekends;92.24318658280922;1431;1320;2283
2021-04;36-36C;Daluren;Heures creuses;Off-peak hours;92.09461562402738;3213;2959;5236
2021-04;50A;Ochtendspits;Pointe du matin;Morning peak hour;95.23809523809523;546;520;771
2021-04;50;Ochtendspits;Pointe du matin;Morning peak hour;96.07843137254902;102;98;128
2021-04;50;Daluren;Heures creuses;Off-peak hours;97.58064516129032;248;242;257
2021-04;89;Ochtendspits;Pointe du matin;Morning peak hour;94.14225941422593;239;225;417
2021-04;89;Daluren;Heures creuses;Off-peak hours;96.09261939218524;691;664;698
2021-04;94;Daluren;Heures creuses;Off-peak hours;95.06172839506173;729;693;1079
2021-04;96;Ochtendspits;Pointe du matin;Morning peak hour;87.53117206982543;401;351;1050
2021-04;124;Weekends;Weekends;Weekends;98.83720930232558;86;85;64
2021-04;124;Daluren;Heures creuses;Off-peak hours;93.24324324324324;740;690;1014
2021-04;161;Ochtendspits;Pointe du matin;Morning peak hour;96.09756097560975;205;197;322
2021-05;25-27;Weekends;Weekends;Weekends;92.3076923076923;702;648;1197
2021-05;36-36C;Weekends;Weekends;Weekends;93.45535219079312;1803;1685;2555
2021-05;50A;Weekends;Weekends;Weekends;98.18731117824774;993;975;481
2021-05;50;Avondspits;Pointe du soir;Evening peak hour;96.49122807017544;57;55;64
2021-05;50;Weekends;Weekends;Weekends;97.66355140186917;214;209;219
2021-05;50;Daluren;Heures creuses;Off-peak hours;99.11504424778761;226;224;186
2021-05;60;Daluren;Heures creuses;Off-peak hours;96.28378378378379;592;570;596
2021-05;89;Ochtendspits;Pointe du matin;Morning peak hour;96.42857142857143;224;216;299
2021-05;89;Avondspits;Pointe du soir;Evening peak hour;90.58823529411765;170;154;490
2021-05;89;Daluren;Heures creuses;Off-peak hours;97.09208400646203;619;601;519
2021-05;94;Ochtendspits;Pointe du matin;Morning peak hour;86.13138686131386;274;236;640
2021-05;94;Daluren;Heures creuses;Off-peak hours;94.41087613293051;662;625;829
2021-05;96;Avondspits;Pointe du soir;Evening peak hour;92.80575539568345;278;258;538
2021-05;96;Daluren;Heures creuses;Off-peak hours;95.95261599210266;1013;972;1086
2021-05;124;Daluren;Heures creuses;Off-peak hours;95.47123623011015;817;780;912
2021-05;162;Ochtendspits;Pointe du matin;Morning peak hour;94.5945945945946;74;70;65
2021-05;162;Avondspits;Pointe du soir;Evening peak hour;91.22807017543859;57;52;178
2021-05;162;Daluren;Heures creuses;Off-peak hours;91.6030534351145;262;240;426
2021-06;25-27;Weekends;Weekends;Weekends;95.95141700404858;494;474;779
2021-06;36-36C;Daluren;Heures creuses;Off-peak hours;93.39259259259259;3375;3152;5232
2021-06;50A;Ochtendspits;Pointe du matin;Morning peak hour;96.91252144082333;583;565;541
2021-06;50A;Weekends;Weekends;Weekends;93.62017804154303;674;631;871
2021-06;50;Ochtendspits;Pointe du matin;Morning peak hour;94.54545454545455;110;104;148
2021-06;60;Weekends;Weekends;Weekends;98.66666666666667;225;222;186
2021-06;89;Avondspits;Pointe du soir;Evening peak hour;91.14583333333334;192;175;348
2021-06;89;Daluren;Heures creuses;Off-peak hours;94.96503496503496;715;679;806
2021-06;94;Ochtendspits;Pointe du matin;Morning peak hour;88.1619937694704;321;283;915
2021-06;94;Avondspits;Pointe du soir;Evening peak hour;84.02061855670104;194;163;941
2021-06;94;Weekends;Weekends;Weekends;96.49805447470817;257;248;188
2021-06;94;Daluren;Heures creuses;Off-peak hours;87.48353096179183;759;664;2254
2021-06;96;Avondspits;Pointe du soir;Evening peak hour;85.43689320388349;309;264;1108
2021-06;96;Weekends;Weekends;Weekends;98.10924369747899;476;467;331
2021-06;96;Daluren;Heures creuses;Off-peak hours;94.12265758091993;1174;1105;2140
2021-06;124;Daluren;Heures creuses;Off-peak hours;93.71069182389937;954;894;1447
2021-06;161;Avondspits;Pointe du soir;Evening peak hour;82.82828282828282;198;164;643
2021-06;161;Daluren;Heures creuses;Off-peak hours;91.22807017543859;741;676;1540
2021-06;162;Ochtendspits;Pointe du matin;Morning peak hour;84.52380952380952;84;71;245
2021-06;162;Daluren;Heures creuses;Off-peak hours;93.93939393939394;297;279;432
2021-07;50A;Avondspits;Pointe du soir;Evening peak hour;96.06299212598425;381;366;483
2021-07;89;Daluren;Heures creuses;Off-peak hours;96.33967789165446;683;658;696
2021-07;94;Daluren;Heures creuses;Off-peak hours;92.03296703296702;728;670;1293
2021-07;96;Avondspits;Pointe du soir;Evening peak hour;93.83116883116884;308;289;607
2021-07;124;Ochtendspits;Pointe du matin;Morning peak hour;95.09433962264151;265;252;316
2021-07;161;Ochtendspits;Pointe du matin;Morning peak hour;95.58011049723757;181;173;274
2021-07;161;Weekends;Weekends;Weekends;97.65395894428153;341;333;206
2021-07;162;Avondspits;Pointe du soir;Evening peak hour;80.0;30;24;92
2021-08;25-27;Avondspits;Pointe du soir;Evening peak hour;93.28537170263789;417;389;769
2021-08;36-36C;Ochtendspits;Pointe du matin;Morning peak hour;97.71689497716895;876;856;708
2021-08;36-36C;Daluren;Heures creuses;Off-peak hours;96.31135637525415;3443;3316;3138
2021-08;50A;Ochtendspits;Pointe du matin;Morning peak hour;98.0701754385965;570;559;423
2021-08;50A;Avondspits;Pointe du soir;Evening peak hour;93.12977099236642;393;366;599
2021-08;50;Ochtendspits;Pointe du matin;Morning peak hour;95.45454545454545;110;105;121
2021-08;50;Avondspits;Pointe du soir;Evening peak hour;95.45454545454545;66;63;95
2021-08;60;Weekends;Weekends;Weekends;96.95945945945947;296;287;201
2021-08;94;Ochtendspits;Pointe du matin;Morning peak hour;92.83018867924528;265;246;492
2021-08;96;Avondspits;Pointe du soir;Evening peak hour;95.13677811550151;329;313;425
2021-08;96;Weekends;Weekends;Weekends;97.35234215885947;491;478;557
2021-08;124;Ochtendspits;Pointe du matin;Morning peak hour;85.47008547008546;234;200;681
2021-08;161;Avondspits;Pointe du soir;Evening peak hour;86.80203045685279;197;171;567
2021-08;161;Weekends;Weekends;Weekends;96.7741935483871;279;270;173
2021-08;162;Ochtendspits;Pointe du matin;Morning peak hour;83.33333333333334;6;5;10
2021-08;162;Avondspits;Pointe du soir;Evening peak hour;83.33333333333334;6;5;12
2021-09;36-36C;Weekends;Weekends;Weekends;91.48606811145511;1292;1182;2278
2021-09;50A;Ochtendspits;Pointe du matin;Morning peak hour;93.87755102040816;588;552;864
2021-09;50A;Weekends;Weekends;Weekends;83.9258114374034;647;543;1667
2021-09;50A;Daluren;Heures creuses;Off-peak hours;95.42606516290726;1596;1523;1749
2021-09;60;Avondspits;Pointe du soir;Evening peak hour;86.15384615384616;195;168;539
2021-09;89;Ochtendspits;Pointe du matin;Morning peak hour;96.13899613899613;259;249;360
2021-09;94;Ochtendspits;Pointe du matin;Morning peak hour;84.46601941747572;309;261;894
2021-09;94;Avondspits;Pointe du soir;Evening peak hour;81.12244897959184;196;159;832
2021-09;94;Weekends;Weekends;Weekends;96.10894941634241;257;247;307
2021-09;124;Avondspits;Pointe du soir;Evening peak hour;70.58823529411765;255;180;1505
2021-09;124;Daluren;Heures creuses;Off-peak hours;84.6235418875928;943;798;3341
2021-09;161;Ochtendspits;Pointe du matin;Morning peak hour;78.06122448979592;196;153;668
2021-09;161;Weekends;Weekends;Weekends;90.76086956521739;184;167;347
2021-09;161;Daluren;Heures creuses;Off-peak hours;79.75708502024291;741;591;2505
2021-09;162;Weekends;Weekends;Weekends;69.79166666666666;96;67;382
2021-10;25-27;Ochtendspits;Pointe du matin;Morning peak hour;76.10208816705337;431;328;1750
2021-10;25-27;Daluren;Heures creuses;Off-peak hours;86.9019138755981;1672;1453;4334
2021-10;36-36C;Daluren;Heures creuses;Off-peak hours;93.14516129032258;3224;3003;5253
2021-10;50A;Daluren;Heures creuses;Off-peak hours;92.02898550724638;1518;1397;2476
2021-10;50;Avondspits;Pointe du soir;Evening peak hour;92.06349206349206;63;58;154
2021-10;50;Weekends;Weekends;Weekends;99.30555555555556;144;143;165
2021-10;50;Daluren;Heures creuses;Off-peak hours;96.41434262948208;251;242;429
2021-10;60;Weekends;Weekends;Weekends;97.6271186440678;295;288;245
2021-10;60;Daluren;Heures creuses;Off-peak hours;94.81132075471697;636;603;803
2021-10;94;Ochtendspits;Pointe du matin;Morning peak hour;66.33986928104575;306;203;1303
2021-10;94;Weekends;Weekends;Weekends;94.81865284974094;193;183;249
2021-10;96;Ochtendspits;Pointe du matin;Morning peak hour;59.85037406483791;401;240;2201
2021-10;96;Avondspits;Pointe du soir;Evening peak hour;87.74193548387098;310;272;1031
2021-10;124;Avondspits;Pointe du soir;Evening peak hour;81.9672131147541;244;200;802
2021-10;161;Ochtendspits;Pointe du matin;Morning peak hour;82.03883495145631;206;169;648
2021-10;161;Weekends;Weekends;Weekends;86.63594470046083;217;188;491
2021-10;162;Ochtendspits;Pointe du matin;Morning peak hour;78.57142857142857;84;66;265
2021-10;162;Avondspits;Pointe du soir;Evening peak hour;87.09677419354838;62;54;148
2021-10;162;Weekends;Weekends;Weekends;78.35820895522389;134;105;512
2021-10;162;Daluren;Heures creuses;Off-peak hours;85.46712802768167;289;247;933
2021-11;25-27;Avondspits;Pointe du soir;Evening peak hour;83.69304556354916;417;349;1376
2021-11;25-27;Weekends;Weekends;Weekends;93.66438356164383;584;547;667
2021-11;36-36C;Avondspits;Pointe du soir;Evening peak hour;92.93193717277487;764;710;1213
2021-11;50A;Ochtendspits;Pointe du matin;Morning peak hour;85.79545454545455;528;453;1412
2021-11;50A;Daluren;Heures creuses;Off-peak hours;91.66087560806116;1439;1319;2448
2021-11;50;Ochtendspits;Pointe du matin;Morning peak hour;76.0;100;76;406
2021-11;60;Avondspits;Pointe du soir;Evening peak hour;95.42857142857143;175;167;244
2021-11;60;Weekends;Weekends;Weekends;99.69696969696969;330;329;128
2021-11;60;Daluren;Heures creuses;Off-peak hours;94.6341463414634;615;582;779
2021-11;94;Weekends;Weekends;Weekends;96.88888888888889;225;218;225
2021-11;96;Weekends;Weekends;Weekends;97.5669099756691;411;401;435
2021-11;124;Weekends;Weekends;Weekends;92.69662921348315;356;330;441
2021-11;161;Daluren;Heures creuses;Off-peak hours;88.31360946745562;676;597;1477
2021-11;162;Weekends;Weekends;Weekends;83.75;80;67;342
2021-12;25-27;Weekends;Weekends;Weekends;95.51451187335093;379;362;333
2021-12;36-36C;Daluren;Heures creuses;Off-peak hours;94.86893474623535;3586;3402;4642
2021-12;50;Avondspits;Pointe du soir;Evening peak hour;94.11764705882352;68;64;139
2021-12;50;Weekends;Weekends;Weekends;97.9020979020979;143;140;163
2021-12;50;Daluren;Heures creuses;Off-peak hours;96.33699633699634;273;263;416
2021-12;60;Ochtendspits;Pointe du matin;Morning peak hour;92.27053140096618;207;191;272
2021-12;89;Daluren;Heures creuses;Off-peak hours;96.3923337091319;887;855;1087
2021-12;94;Ochtendspits;Pointe du matin;Morning peak hour;85.43046357615894;302;258;968
2021-12;94;Weekends;Weekends;Weekends;97.3913043478261;230;224;142
2021-12;96;Daluren;Heures creuses;Off-peak hours;91.92;1250;1149;2516
2021-12;124;Daluren;Heures creuses;Off-peak hours;92.27642276422763;984;908;1529
2021-12;161;Weekends;Weekends;Weekends;95.2191235059761;251;239;231
2021-12;162;Daluren;Heures creuses;Off-peak hours;91.53094462540716;307;281;726
2022-01;25-27;Avondspits;Pointe du soir;Evening peak hour;89.25233644859813;428;382;1011
2022-01;50A;Ochtendspits;Pointe du matin;Morning peak hour;90.9090909090909;528;480;1096
2022-01;50A;Weekends;Weekends;Weekends;92.94554455445545;808;751;1132
2022-01;50;Ochtendspits;Pointe du matin;Morning peak hour;95.1923076923077;104;99;197
2022-01;50;Avondspits;Pointe du soir;Evening peak hour;93.54838709677419;62;58;103
2022-01;50;Weekends;Weekends;Weekends;96.64804469273743;179;173;213
2022-01;50;Daluren;Heures creuses;Off-peak hours;96.81274900398407;251;243;258
2022-01;60;Weekends;Weekends;Weekends;99.69604863221885;329;328;93
2022-01;60;Daluren;Heures creuses;Off-peak hours;97.37654320987654;648;631;379
2022-01;89;Avondspits;Pointe du soir;Evening peak hour;92.06349206349206;252;232;481
2022-01;89;Weekends;Weekends;Weekends;96.56160458452722;349;337;375
2022-01;94;Daluren;Heures creuses;Off-peak hours;93.82716049382715;729;684;1075
2022-01;96;Avondspits;Pointe du soir;Evening peak hour;90.32258064516128;310;280;825
2022-01;161;Daluren;Heures creuses;Off-peak hours;90.3409090909091;704;636;1462
2022-02;25-27;Avondspits;Pointe du soir;Evening peak hour;81.35593220338984;354;288;1187
2022-02;25-27;Weekends;Weekends;Weekends;87.7237851662404;391;343;872
2022-02;36-36C;Weekends;Weekends;Weekends;94.4888178913738;1252;1183;1841
2022-02;50;Ochtendspits;Pointe du matin;Morning peak hour;97.97979797979798;99;97;141
2022-02;50;Avondspits;Pointe du soir;Evening peak hour;88.13559322033898;59;52;167
2022-02;50;Daluren;Heures creuses;Off-peak hours;99.14529914529915;234;232;246
2022-02;89;Ochtendspits;Pointe du matin;Morning peak hour;93.69747899159664;238;223;408
2022-02;94;Ochtendspits;Pointe du matin;Morning peak hour;77.5;280;217;1013
2022-02;124;Weekends;Weekends;Weekends;96.57320872274143;321;310;310
2022-02;161;Ochtendspits;Pointe du matin;Morning peak hour;88.88888888888889;180;160;394
2022-02;162;Weekends;Weekends;Weekends;92.85714285714286;126;117;256
2022-03;25-27;Weekends;Weekends;Weekends;96.54471544715447;492;475;451
2022-03;50;Ochtendspits;Pointe du matin;Morning peak hour;95.57522123893806;113;108;231
2022-03;50;Daluren;Heures creuses;Off-peak hours;97.0909090909091;275;267;445
2022-03;60;Ochtendspits;Pointe du matin;Morning peak hour;91.78743961352657;207;190;415
2022-03;60;Weekends;Weekends;Weekends;96.95817490494296;263;255;205
2022-03;94;Daluren;Heures creuses;Off-peak hours;85.21303258145363;798;680;2626
2022-03;96;Avondspits;Pointe du soir;Evening peak hour;81.95266272189349;338;277;1338
2022-03;96;Daluren;Heures creuses;Off-peak hours;91.84;1250;1148;2781
2022-03;161;Avondspits;Pointe du soir;Evening peak hour;85.71428571428571;203;174;646
2022-04;25-27;Ochtendspits;Pointe du matin;Morning peak hour;92.5;360;333;767
2022-04;25-27;Weekends;Weekends;Weekends;92.59896729776248;581;538;958
2022-04;25-27;Daluren;Heures creuses;Off-peak hours;86.50568181818183;1408;1218;3882
2022-04;36-36C;Weekends;Weekends;Weekends;95.57575757575758;1650;1577;2004
2022-04;50A;Avondspits;Pointe du soir;Evening peak hour;86.0;350;301;1102
2022-04;50A;Daluren;Heures creuses;Off-peak hours;91.02384291725105;1426;1298;3173
2022-04;50;Weekends;Weekends;Weekends;96.53179190751445;173;167;240
2022-04;60;Ochtendspits;Pointe du matin;Morning peak hour;86.51685393258427;178;154;375
2022-04;60;Weekends;Weekends;Weekends;96.27329192546584;322;310;257
2022-04;89;Avondspits;Pointe du soir;Evening peak hour;82.83261802575107;233;193;917
2022-04;89;Daluren;Heures creuses;Off-peak hours;91.22596153846155;832;759;2298
2022-04;94;Daluren;Heures creuses;Off-peak hours;89.62536023054754;694;622;1571
2022-04;96;Avondspits;Pointe du soir;Evening peak hour;79.25170068027211;294;233;1228
2022-04;124;Avondspits;Pointe du soir;Evening peak hour;83.63636363636363;165;138;517
2022-04;161;Weekends;Weekends;Weekends;93.30985915492957;284;265;387
2022-05;25-27;Avondspits;Pointe du soir;Evening peak hour;78.21522309711287;381;298;1831
2022-05;36-36C;Ochtendspits;Pointe du matin;Morning peak hour;95.3810623556582;866;826;1234
2022-05;36-36C;Avondspits;Pointe du soir;Evening peak hour;90.57104913678619;753;682;1707
2022-05;36-36C;Weekends;Weekends;Weekends;94.29447852760737;1630;1537;2002
2022-05;50A;Ochtendspits;Pointe du matin;Morning peak hour;91.4018691588785;535;489;884
2022-05;50A;Avondspits;Pointe du soir;Evening peak hour;84.57300275482093;363;307;1307
2022-05;50;Ochtendspits;Pointe du matin;Morning peak hour;92.15686274509804;102;94;257
2022-05;50;Avondspits;Pointe du soir;Evening peak hour;80.95238095238095;63;51;235
2022-05;60;Ochtendspits;Pointe du matin;Morning peak hour;96.19565217391305;184;177;267
2022-05;89;Ochtendspits;Pointe du matin;Morning peak hour;95.0413223140496;242;230;319
2022-05;89;Avondspits;Pointe du soir;Evening peak hour;81.77966101694916;236;193;758
2022-05;89;Weekends;Weekends;Weekends;97.41935483870968;310;302;345
2022-05;94;Daluren;Heures creuses;Off-peak hours;87.19424460431655;695;606;1895
2022-05;96;Avondspits;Pointe du soir;Evening peak hour;70.84745762711864;295;209;1340
2022-05;124;Weekends;Weekends;Weekends;94.38775510204081;392;370;576
2022-05;161;Ochtendspits;Pointe du matin;Morning peak hour;92.42424242424242;198;183;404
