FID,the_geom,code,timestamp,air_pressure,air_temperature,relative_humidity,precipitation,wind_speed,wind_direction,qc_flags
aws_10min.fid--18bb3085_190319152d2_-7e3c,POINT (5.255 50.194),6472,2024-06-11T00:00:00,980.52,6.74,87.1,0,1.94,254.4,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e3b,POINT (3.202 51.348),6418,2024-06-11T00:10:00,1013.24,12.74,66.95,0,6.93,323.7,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e3a,POINT (4.358 50.797),6447,2024-06-11T00:10:00,1002.68,8.75,92.76,0,,261.6,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e39,POINT (5.255 50.194),6472,2024-06-11T00:10:00,980.54,6.53,87.33,0,2,242.3,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e38,POINT (5.255 50.194),6472,2024-06-11T00:20:00,980.42,6.18,87.65,0,1.5,225.5,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e37,POINT (4.358 50.797),6447,2024-06-11T00:20:00,1002.68,8.71,92.86,0,,262.4,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e36,POINT (3.202 51.348),6418,2024-06-11T00:20:00,1013.41,12.68,65.44,0,7.25,314.6,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e35,POINT (4.358 50.797),6447,2024-06-11T00:30:00,1002.7,8.54,93.24,0,,257.7,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e34,POINT (5.255 50.194),6472,2024-06-11T00:30:00,980.54,5.86,87.82,0,1.84,223.9,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e33,POINT (3.202 51.348),6418,2024-06-11T00:30:00,1013.4,12.67,63.88,0,6.59,322.6,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
